platform,algorithm,messages,message_size_bytes,total_bytes,time_seconds,throughput_mbps,latency_per_msg_us,batch_size
CPU-Python-Sequential,AES-256,100,140,14000,0.003,4.51,29.63,
CPU-Python-Sequential,ASCON-128,100,140,14000,0.0478,0.28,478.4,
GPU-CUDA-Batch,AES-256,100,140,14000,0.0299,0.45,298.63,64.0
GPU-CUDA-Tensor-Parallel,AES-256-Simplified,1000,140,140000,0.0065,20.45,6.53,
CPU-Python-Sequential,AES-256,100,1400,140000,0.0019,70.34,18.98,
CPU-Python-Sequential,ASCON-128,100,1400,140000,0.3787,0.35,3787.4,
GPU-CUDA-Batch,AES-256,100,1400,140000,0.0006,238.04,5.61,64.0
GPU-CUDA-Tensor-Parallel,AES-256-Simplified,1000,1400,1400000,0.0039,341.15,3.91,
CPU-Python-Sequential,AES-256,50,14000,700000,0.0017,393.36,33.94,
CPU-Python-Sequential,ASCON-128,50,14000,700000,1.7982,0.37,35963.53,
GPU-CUDA-Batch,AES-256,50,14000,700000,0.0015,460.14,29.02,50.0
CPU-Python-Sequential,AES-256,10,140000,1400000,0.0029,462.71,288.55,
CPU-Python-Sequential,ASCON-128,10,140000,1400000,3.7547,0.36,375473.8,
GPU-CUDA-Batch,AES-256,10,140000,1400000,0.0018,730.58,182.75,10.0
